"BUDGET_YEAR","GROUP_NAME","OCTOBER","NOVEMBER","DECEMBER","JANUARY","FEBUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","UPDATE_DATE"
"2564","ภาษียาสูบ","           5661262147.8700","           5392960400.3200","           5360515989.7400","           5064546700.6800","           4648998331.6500","           5767722104.9800","           5974450309.6900","           5130397038.8300","           5249514764.6300","           5635793388.8700","           4770759308.6700","           5542737997.0100","2566-08-11"
"2564","ภาษีผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","             64649036.9500","             53590711.4300","             70872310.3000","             52776723.1200","             54991922.8200","             57265993.3100","             69441922.5900","             60206971.4300","             51204417.9000","             34567078.5700","             38988513.2500","             47720122.1100","2566-08-11"
"2564","ภาษีน้ำมันและผลิตภัณฑ์น้ำมัน","          18074503251.8100","          18189584038.0600","          19058345399.0100","          17098238408.0600","          16500765033.1600","          19081501016.3100","          19187056544.0900","          15353447373.4700","          16755567287.3100","          15636907918.4000","          14586321991.2800","          14261753074.3400","2566-08-11"
"2564","ภาษีสุรา","           5296214529.5700","           4996993396.4300","           5707162984.3300","           4957047450.6600","           4951579292.5700","           5703697125.2400","           4979138355.1400","           4594219480.7700","           4593342461.2200","           4228044097.7800","           4367750842.8500","           5227604062.9600","2566-08-11"
"2564","รายได้เบ็ดเตล็ด","             81599879.0900","             98325822.4000","            162015375.4800","             99268804.9100","             69684280.6000","             65179363.0100","             42331826.0200","             36055649.9500","             46755978.7400","             34375274.5200","             51125771.0600","             39500045.7700","2566-08-11"
"2564","ภาษีไพ่","              3231069.6000","              1138320.0000","              3980344.8000","              1513600.8000","                    0.0000","              8760729.8600","                   12.4000","                   84.7000","              2808047.0000","               345616.3200","                    1.0400","               755040.0000","2566-08-11"
"2564","ภาษีไนต์คลับและดิสโกเธค","              4367954.4000","             10229154.9900","              8483213.2900","             10660399.0600","              2247084.2500","              4100482.3600","              9156193.6000","              1314225.5500","               204474.4300","               635331.3700","                45874.1800","                40470.0600","2566-08-11"
"2564","ภาษีแบตเตอรี่","            330592782.3100","            301889537.4600","            297818316.7900","            272596402.0800","            260270575.6300","            253398859.7300","            256452057.0800","            233271358.8900","            249689527.7300","            271791246.3100","            245106244.7500","            257844437.8600","2566-08-11"
"2564","ภาษีแก้วและเครื่องแก้ว","                    0.0000","                    0.0000","                20700.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","2566-08-11"
"2564","ภาษีเรือ","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                48000.0000","                    0.0000","                    0.0000","2566-08-11"
"2564","ภาษีเบียร์","           6483657984.8400","           7429550243.4000","           8022252350.9000","           8973684948.7900","           5218781276.9900","           5998915628.6900","           8737288414.2300","           7682783328.3500","           5591017751.7800","           5984332222.8700","           6421331010.6900","           4496311528.9100","2566-08-11"
"2564","ภาษีเครื่องดื่ม","           1768884901.4000","           1710503109.9700","           1877261861.6800","           2042266079.0100","           1568083040.8000","           1807487809.6000","           2589072329.2300","           2256083501.4100","           2013513725.4500","           2080919054.2200","           1781666600.4400","           1678431447.5900","2566-08-11"
"2565","นำเข้าไม่ทราบสินค้า","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","               245400.0000","               254459.3300","                    0.0000","                    0.0000","2566-08-11"
"2565","รายได้เบ็ดเตล็ด","             78263524.2800","             93889393.3200","            139076307.7900","             43388644.1300","             39052311.5600","             39927069.9300","             33049929.1500","             42482381.7500","             41932032.8800","             40449286.2900","            101071834.7700","             42200298.8600","2566-08-11"
"2565","ภาษีผลิตภัณฑ์เครื่องหอมและเครื่องสำอาง","             47519887.2900","             48197105.8300","             68431628.1100","             60641256.0200","             71671219.4500","             81465749.6200","             64000602.9600","             61937272.7100","             75542981.5300","             54421360.2500","             89259661.8600","            101055407.0100","2566-08-11"
"2565","ภาษีพรมและสิ่งทอปูพื้น","                    0.0000","                  145.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","                    0.0000","2566-08-11"
